"language","threads","workload","run_id","config_type","wall_time_s","cpu_pct","peak_rss_kb","phase","repeat"
"python",2,"producer_consumer","python_phase2_prod-cons_p_best_p2_r10","p_best",3.340000,183,14364,2,10
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r1","p_base",1.120000,99,18728,2,1
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r2","p_base",1.120000,99,18540,2,2
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r3","p_base",1.120000,99,18728,2,3
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r4","p_base",1.110000,99,18684,2,4
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r5","p_base",1.130000,99,18604,2,5
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r6","p_base",1.120000,99,18728,2,6
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r7","p_base",1.120000,100,18540,2,7
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r8","p_base",1.120000,100,18728,2,8
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r9","p_base",1.120000,99,18604,2,9
"rust",1,"matrix_multiplication","rust_phase2_matmul_p_base_p1_r10","p_base",1.120000,99,18660,2,10
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r1","p_best",0.160000,736,18476,2,1
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r2","p_best",0.160000,754,18412,2,2
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r3","p_best",0.160000,758,18540,2,3
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r4","p_best",0.150000,761,18412,2,4
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r5","p_best",0.160000,757,18540,2,5
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r6","p_best",0.160000,759,18476,2,6
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r7","p_best",0.160000,758,18224,2,7
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r8","p_best",0.160000,759,18728,2,8
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r9","p_best",0.160000,727,18348,2,9
"rust",8,"matrix_multiplication","rust_phase2_matmul_p_best_p8_r10","p_best",0.160000,755,18412,2,10
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r1","p_base",0.040000,97,17316,2,1
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r2","p_base",0.040000,100,17324,2,2
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r3","p_base",0.040000,100,17320,2,3
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r4","p_base",0.040000,97,17324,2,4
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r5","p_base",0.040000,97,17324,2,5
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r6","p_base",0.040000,100,17324,2,6
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r7","p_base",0.040000,97,17320,2,7
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r8","p_base",0.040000,100,17380,2,8
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r9","p_base",0.040000,100,17320,2,9
"rust",1,"parallel_sort","rust_phase2_sort_p_base_p1_r10","p_base",0.040000,97,17260,2,10
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r1","p_best",0.020000,245,24076,2,1
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r2","p_best",0.030000,175,23784,2,2
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r3","p_best",0.010000,257,24296,2,3
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r4","p_best",0.020000,233,23880,2,4
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r5","p_best",0.010000,252,24268,2,5
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r6","p_best",0.020000,245,23512,2,6
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r7","p_best",0.020000,207,22768,2,7
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r8","p_best",0.010000,252,24420,2,8
"rust",8,"parallel_sort","rust_phase2_sort_p_best_p8_r9","p_best",0.020000,240,24136,2,9
